ts_code,symbol,name,list_date,delist_date
L1706.DCE,L1706,ËÜÁÏ1706,20160617,20170614
P1706.DCE,P1706,×ØéµÓÍ1706,20160617,20170614
V1706.DCE,V1706,PVC1706,20160617,20170614
L0906.DCE,L0906,ËÜÁÏ0906,20080617,20090612
J1111.DCE,J1111,½¹Ì¿1111,20110415,20111114
M0808.DCE,M0808,¶¹ÆÉ0808,20070815,20080814
C1707.DCE,C1707,ÓñÃ×1707,20160715,20170714
FB1707.DCE,FB1707,ÏËÎ¬°å1707,20160715,20170714
J1707.DCE,J1707,½¹Ì¿1707,20160715,20170714
P1707.DCE,P1707,×ØéµÓÍ1707,20160715,20170714
B0901.DCE,B0901,¶¹¶þ0901,20080116,20090116
C0703.DCE,C0703,ÓñÃ×0703,20060315,20070314
B0705.DCE,B0705,¶¹¶þ0705,20060522,20070521
M1708.DCE,M1708,¶¹ÆÉ1708,20160815,20170814
P1708.DCE,P1708,×ØéµÓÍ1708,20160815,20170814
JM1708.DCE,JM1708,½¹Ãº1708,20160815,20170814
FB1708.DCE,FB1708,ÏËÎ¬°å1708,20160815,20170814
A0107.DCE,A0107,¶¹Ò»0107,20000717,20010713
Y1709.DCE,Y1709,¶¹ÓÍ1709,20160919,20170914
B1709.DCE,B1709,¶¹¶þ1709,20160919,20170914
J1709.DCE,J1709,½¹Ì¿1709,20160919,20170914
JM1709.DCE,JM1709,½¹Ãº1709,20160919,20170914
JD1709.DCE,JD1709,¼¦µ°1709,20160919,20170926
BB1709.DCE,BB1709,½ººÏ°å1709,20160919,20170914
PP1709.DCE,PP1709,¾Û±ûÏ©1709,20160919,20170914
A1803.DCE,A1803,¶¹Ò»1803,20160919,20180314
CS1709.DCE,CS1709,ÓñÃ×µí·Û1709,20160919,20170914
FB1710.DCE,FB1710,ÏËÎ¬°å1710,20161024,20171020
PP1710.DCE,PP1710,¾Û±ûÏ©1710,20161024,20171020
Y1711.DCE,Y1711,¶¹ÓÍ1711,20161115,20171114
C1711.DCE,C1711,ÓñÃ×1711,20161115,20171114
V1711.DCE,V1711,PVC1711,20161115,20171114
PP1711.DCE,PP1711,¾Û±ûÏ©1711,20161115,20171114
V1712.DCE,V1712,PVC1712,20161215,20171214
Y1712.DCE,Y1712,¶¹ÓÍ1712,20161215,20171214
PP1712.DCE,PP1712,¾Û±ûÏ©1712,20161215,20171214
FB1712.DCE,FB1712,ÏËÎ¬°å1712,20161215,20171214
L1712.DCE,L1712,ËÜÁÏ1712,20161215,20171214
M1712.DCE,M1712,¶¹ÆÉ1712,20161215,20171214
M1001.DCE,M1001,¶¹ÆÉ1001,20090119,20100115
L0710.DCE,L0710,ËÜÁÏ0710,20070731,20071019
B0909.DCE,B0909,¶¹¶þ0909,20080916,20090914
C0907.DCE,C0907,ÓñÃ×0907,20080715,20090714
L0910.DCE,L0910,ËÜÁÏ0910,20081020,20091022
A1809.DCE,A1809,¶¹Ò»1809,20170315,20180914
B1803.DCE,B1803,¶¹¶þ1803,20170315,20180314
BB1803.DCE,BB1803,½ººÏ°å1803,20170315,20180314
C1803.DCE,C1803,ÓñÃ×1803,20170315,20180314
CS1803.DCE,CS1803,ÓñÃ×µí·Û1803,20170315,20180314
