商品代码,商品名称,主力合约,结算价,涨跌,成交量,持仓量,单位,青松讲盘,黑金期货,微语解期,灰天鹅,未来航情,抓牛在手,云数据,逍遥论期,青石看盘,李昉,综合,标准差,分析
PP.DCE,聚丙烯,2005,7594,-43,603454,610838,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
FB.DCE,纤维板,2005,1442,-3.5,37738,25496,元/张,0,0,0,0,0,0,0,0,0,0,0,0,
CS.DCE,玉米淀粉,2005,2273,-2,84604,170812,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
C.DCE,玉米,2005,1911,-2,395504,1441476,元/吨,0,0,0,1,0,0,0,0,0,0,0.1,0.3,
JM.DCE,焦煤,2005,1164,11.5,128698,155610,元/吨,0,0,0,0,0,0,0,0,0,0,0,0,
J.DCE,焦炭,2005,1871.5,12,334084,330264,元/吨,0,0,0,0,0,0,0,-1,1,0,0,0.45,
P.DCE,棕榈油,2005,6352,54,4108128,1616246,元/吨,0,0,0,0,0,1,1,0,0,0,0.2,0.4,
JD.DCE,鸡蛋,2005,3586,27,493432,491324,元/500千克,-1,0,0,0,0,-1,0,-1,0,0,-0.3,0.46,
SC.INE,原油,2002,488.1,-2,166386,23718,元/桶,0,0,0,0,0,0,0,0,0,0,0,0,
FU.SHF,燃料油,2005,,,,,,1,0,0,0,0,-1,0,0,0,0,0,0.45,
